NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
260,N 1240  W,ST GEORGE CITY,UT,84770,
1278,BAYCREST DR,SARATOGA SPRINGS,UT,84045,
11547,S 4340  W,SOUTH JORDAN,UT,84009,
4595,S 2770  E,HOLLADAY CITY,UT,84117,
467,N 3000  W,WEST POINT,UT,84015,
983,E CANFIELD DR,OGDEN CITY,UT,84404,
715,E ASHTON AVE,SALT LAKE CITY,UT,84106,
3683,W PLYMOUTH ROCK CV,LEHI,UT,84043,
2141,W ALESA ST,WEST VALLEY CITY,UT,84119,
67,E BLUE MEADOW LN,PANGUITCH,UT,84759,
5613,W BONICA LN,HERRIMAN TOWN,UT,84096,
1405,E 1120  S,PROVO,UT,84606,
269,N 300  W,ST GEORGE CITY,UT,84770,
1156,N 400  W,LOGAN CITY,UT,84341,
55,N 100  E,HYRUM,UT,84319,
3,E 2450  N,LAYTON,UT,84041,
185,W 100  S,PAROWAN,UT,84761,
72,S EAST RIDGE RD,MONA,UT,84645,
3364,W 4460  S,WEST VALLEY CITY,UT,84119,
1509,S GIBSON AVE,OGDEN CITY,UT,84404,
311,N 750  E,VINEYARD,UT,84057,
355,E 950  N,TOOELE,UT,84074,
4585,S IDLEWILD RD,MILLCREEK,UT,84124,
2154,W 2175  N,CLINTON,UT,84015,
3030,W 3600  S,CHARLESTON,UT,84032,
50,E 2500  S,ORDERVILLE,UT,84755,
4300,S DIANA WAY,MILLCREEK,UT,84124,
4507,N DREAMERS CV,ERDA,UT,84074,
4586,S AUTUMN VISTAS DR,WEST VALLEY CITY,UT,84128,
2588,S 900  E,SALT LAKE CITY,UT,84106,25
4823,W PILLAR DR,RIVERTON,UT,84096,
4365,S 3250  W,WEST HAVEN,UT,84401,
2278,W 4185  S,TAYLORSVILLE CITY,UT,84129,
69,E 200  N,KAYSVILLE,UT,84037,
255,W 1700  N,NORTH OGDEN CITY,UT,84404,
2184,E 2000  N,LAYTON,UT,84040,
2151,S 2060  E,SALT LAKE CITY,UT,84109,
317,E 20TH ST,OGDEN CITY,UT,84401,
584,E 5TH ST,OGDEN CITY,UT,84404,
2158,E VALLEY VIEW CT,LAYTON,UT,84040,
332,W 1070  S,VERNAL,UT,84078,
412,S WILLOW PINE LN,LAYTON,UT,84041,
1015,S RIVER RD,ST GEORGE CITY,UT,84790,
383,E 30  S,OREM,UT,84058,
3306,W 3800  S,WEST VALLEY CITY,UT,84119,
1379,N 150  E,HARRISVILLE,UT,84404,
11581,S KESTREL RISE RD,SOUTH JORDAN,UT,84009,
433,E 2260  N,PROVO,UT,84604,
2783,N 500  E,NORTH LOGAN,UT,84341,
1066,E 500  N,PROVO,UT,84606,
39,E SUMMER PL,SARATOGA SPRINGS,UT,84045,
934,W WOODSTOCK DR,CITY OF NORTH SALT LAKE,UT,84054,
350,W 200  N,ST GEORGE CITY,UT,84770,
3265,S RICHARDS ST,SOUTH SALT LAKE CITY,UT,84115,3
434,E 5350  S,WASHINGTON TERRACE,UT,84405,
48,S 800  E,PAYSON,UT,84651,
675,N 2575  W,WEST POINT,UT,84015,
