NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
2010.0,N GRATZ ST,Philadelphia,PA,19121-1512,
224.0,S 2ND ST,EMMAUS,PA,18049,
939.0,W TREMONT ST,WHITEHALL,PA,18052,
601.0,OLD YORK RD,York,PA,17319,
3603.0,N SIXTH ST,Dauphin,PA,17110,
2022.0,DERRY ST,Dauphin,PA,17104,
949.0,LENAPE CIR,CATASAUQUA,PA,18032,
2057.0,MARKET STREET EXT,Dauphin,PA,17057,
7664.0,SHERWOOD RD,Philadelphia,PA,19151-2020,
440.0,ROBBINS ST,Philadelphia,PA,19111-0000,
5001.0,N WARNOCK ST,Philadelphia,PA,19141-3912,
791.0,CHAMBERS ST,Dauphin,PA,17113,
2285.0,WALNUT BOTTOM RD,York,PA,17408,
4124.0,WHITING RD,Philadelphia,PA,19154-2807,
4804.0,OLD BOSTON RD,Allegheny,PA,15227,
1000.0,ELLA ST,Allegheny,PA,15136,
2646.0,S DEWEY ST,Philadelphia,PA,19142-3520,
406.0,W BRISTOL ST,Philadelphia,PA,19140-2622,
212.0,W SOMERSET ST,Philadelphia,PA,19133-3514,
938.0,N 5TH ST,ALLENTOWN,PA,18102,
107.0,STRASSBURG CIR,York,PA,17361,
2036.0,SOUTH ST,Philadelphia,PA,19146-1321,
405.0,W  10TH AVE,Allegheny,PA,15084,
4445.0,E THOMPSON ST,Philadelphia,PA,19137-1630,
4261.0,ORCHARD ST,Philadelphia,PA,19124-4605,
9535.0,RT   75   S,EAST WATERFORD,PA,17021,
,GERMANTOWN AVE,Philadelphia,PA,19118-3421,
2645.0,BRENTWOOD DR,COOPERSBURG,PA,18036,
6237.0,ELLSWORTH ST,Philadelphia,PA,19143-2912,
2729.0,SHELLY ST,Allegheny,PA,15203,
816.0,N 23RD ST,Philadelphia,PA,19130-1904,
433.0,LEXINGTON CT,Allegheny,PA,15223,
840.0,SPARTAN LN,Dauphin,PA,17033,
0.0,GNATSTOWN RD,York,PA,17331,
208.0,OHIO ST,Allegheny,PA,15146,
122.0,ACKERLY RD,GLENBURN TOWNSHIP,PA,18411,
881.0,E MAIN ST,York,PA,17321,
0.0,FIVE FORKS RD,WAYNESBORO,PA,17268,
2004.0,CRAFTON BLVD,Allegheny,PA,15205,
411.0,MONTGOMERY AVE,Allegheny,PA,15017,
749.0,FLORIDA AVE,Allegheny,PA,15228,
5780.0,LIBRARY RD,Allegheny,PA,15102,
747.0,HANCOCK HWY,DYBERRY TOWNSHIP,PA,18431,
1632.0,COMLY ST,Philadelphia,PA,19149-3438,
2535.0,S MILLICK ST,Philadelphia,PA,19142-3507,
9982.0,ROUTE 104,MT PLEASANT MILLS,PA,17853,
3427.0,HARTVILLE ST,Philadelphia,PA,19134-1112,
5410.0,CEDAR AVE,Philadelphia,PA,19143-1904,
0.0,FISCAL RD,York,PA,17327,
205.0,PENN ST,HUNTINGDON,PA,16652,
252.0,W HAINES ST,Philadelphia,PA,19144-3319,
5829.0,MARKET ST,Philadelphia,PA,19139-3115,
9443.0,MERCERSBURG RD,MERCERSBURG,PA,17236,
416.0,GUENEVERE DR,Allegheny,PA,15237,
0.0,N SHERMAN ST,York,PA,17347,
100.0,WILLIAM PITT WAY,Allegheny,PA,15238,
1006.0,HOYA AV,Dauphin,PA,17112,
2429.0,N 10TH ST,Philadelphia,PA,19133-1614,
1813.0,W PIKE ST,Philadelphia,PA,19140-3425,
8588.0,CHRISTINE CT,Allegheny,PA,15017,
2120.0,VISTA ST,Philadelphia,PA,19152-4215,
,UMBRIA ST,Philadelphia,PA,19128-4344,
2327.0,NICHOLSON RD,Allegheny,PA,15143,
7105.0,WISSAHICKON AVE,Philadelphia,PA,19119-3305,
459.0,OLD HICKORY DR,Allegheny,PA,15235,
2936.0,TRAIL FOUR,NESHANNOCK TWP,PA, ,
2215.0,W LEHIGH AVE,Philadelphia,PA,19132-3232,
2600.0,CREEKEDGE DR,Allegheny,PA,15235,
3114.0,ROCKWELL AVE,SCRANTON City,PA,18508,
105.0,MIDDLE ST,WAYNESBORO,PA,17268,
2185.0,RAMSEY RD,Allegheny,PA,15146,
2619.0,EMILY ST,Philadelphia,PA,19145-2507,
302.0,GEORGE DR,UNION TWP,PA, ,
217.0,E HOWE ST,ALLENTOWN,PA,18109,
324.0,SOUTH ST,Philadelphia,PA,19147-1536,
954.0,SHACKAMAXON ST,Philadelphia,PA,19125-4147,
