NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
324.0,New Park Ave,Hartford,CT,6110,
433.0,Torringford West St,Torrington,CT,6790,
11.0,Wood Dr,Enfield,CT,6082,
5.0,Old Hemlock Rd,Brookfield,CT,06804,
82.0,Cambridge St,Manchester,CT,06042,
381.0,Eden Rd,Stamford,CT,6907,
67.0,Grouse Hill Rd,Glastonbury,CT,6033,
4429.0,Durham Rd,Guilford,CT,6437,
38.0,Aloha Dr,Enfield,CT,6082,
104.0,Woods Hollow Rd,Suffield,CT,6093,
88.0,Russell Rd,Southington,CT,6479,
389.0,Pine St,Middletown,CT,6457,
6.0,Robert St,Woodbridge,CT,6525,
83.0,Wall St,Norwalk,CT,6850,
58.0,Woods Hill Rd,North Branford,CT,6472,
45.0,Woodmere Rd,Newington,CT,6111,
2.0,Center St,Andover,CT,6232,
154.0,Lake Dr,Bethlehem,CT,6751,
188.0,High Wood Dr,Glastonbury,CT,6073,
1793.0,Main St,East Hartford,CT,6108,
25.0,Custer St,West Hartford,CT,6110,
223.0,Palmer Hill Rd,Greenwich,CT,6870,
330.0,Elm St,Meriden,CT,6450,
46.0,Lawlor Rd,Tolland,CT,6084,
159.0,Watertown Rd,Morris,CT,06763,
133.0,Vanderbilt Ave,West Hartford,CT,6110,
449.0,Taulman Rd,Orange,CT,6477,
702.0,Summer Hill Dr,South Windsor,CT,06074,
124.0,Farmington Chase Cres,Farmington,CT,6032,
2.0,Spruce Brook Rd,Seymour,CT,6483,
223.0,Annelise Ave,Southington,CT,6489,
137.0,South Ave,North Haven,CT,6473,
145.0,Austin Ryer Ln,Branford,CT,6405,
19.0,N Cone Rd,East Hampton,CT,6424,
54.0,Break Neck Hill Rd,Westbrook,CT,6498,
189.0,Sigourney St,Hartford,CT,6105,
106.0,Putney Dr,West Haven,CT,6516,
66.0,Gordon St,East Haven,CT,6512,
151.0,Flat Iron Rd,Guilford,CT,6437,
9.0,Salem Straits,Darien,CT,6820,
18.0,Farmstead Ln,Ellington,CT,6029,
111.0,Kings Wood Dr,Avon,CT,6001,
3.0,Glenn Dr,Tolland,CT,6084,
10.0,Padanaram Rd,Danbury,CT,6811,
121.0,Beverly Rd,Wethersfield,CT,6109,
40.0,Hawley Rd,Danbury,CT,6811,
528.0,Horton Hill Rd,Naugatuck,CT,6770,
138.0,Carey St,Southington,CT,6489,
682.0,Atlantic,Bridgeport,CT,6604,
582.0,East St N,Suffield,CT,6078,
446.0,Parker St,Manchester,CT,06042,
322.0,Hoyt Farm Rd,New Canaan,CT,6840,
126.0,Walker St,Manchester,CT,06040,
43.0,Hunting Hill Ave,Middletown,CT,6457,
205.0,Harvard St,Hartford,CT,6106,
246.0,Fairfield Ave,Waterbury,CT,6708,
21.0,Grandview Ave,Norwalk,CT,6850,
254.0,Lanyon Dr,Cheshire,CT,6410,
8.0,Mountain Laurel Ln,Danbury,CT,6811,
11.0,Strawberry Ridge Rd,Ridgefield,CT,6877,
16.0,Leatherman Trl,Hamden,CT,6518,
175.0,Four Rod Rd,Hamden,CT,6514,
5.0,Oakwood Cir,Ellington,CT,6029,
29.0,Selah St,Waterbury,CT,6705,
384.0,Wells,Bridgeport,CT,6606,
32.0,Meeting House Rd,Greenwich,CT,6831,
52.0,Bellamy Ln,Bethlehem,CT,6751,
60.0,Hanover St,Meriden,CT,6451,
397.0,Hawley,Bridgeport,CT,6606,
3.0,Hollow Wood Ln,Greenwich,CT,6831,
132.0,Liberty St,Southington,CT,6489,
21.0,Lower Fish Rock Rd,Southbury,CT,6488,
40.0,Schoolhouse Rd,Wallingford,CT,6492,
28.0,Marjorie Dr,North Branford,CT,6471,
4.0,Babbling Brook Dr,Sherman,CT,6784,
22.0,Fenwood Grove Rd,Old Saybrook,CT,6475,
31.0,Crossen Dr,Tolland,CT,6084,
32.0,Wilmot,Bridgeport,CT,6607,
38.0,McKinley Ave,Bristol,CT,6010,
10.0,Elizabeth Ln,Greenwich,CT,6878,
80.0,Broadway,Bridgeport,CT,6606,
324.0,North St,Milford,CT,06461,
303.0,Rockwood Dr,Southington,CT,6489,
54.0,Chatham St,Hartford,CT,6112,
566.0,Huntington,Bridgeport,CT,6610,
4.0,Greenwich Ct,Middletown,CT,6457,
64.0,Strawberry Ln,Manchester,CT,06040,
1267.0,Torringford St,Torrington,CT,6790,
43.0,Floradale Dr,East Hartford,CT,6108,
179.0,Anns Farm Rd,Hamden,CT,6518,
56.0,Washington Cir,West Hartford,CT,6119,
4.0,Kelsey Pl,Bloomfield,CT,6002,
15.0,Pennywhistle Rd,East Granby,CT,6026,
,Thimble Islands Rd,Branford,CT,6405,
123.0,Wallacks Dr,Stamford,CT,6902,
,Davis St,New Haven,CT,6515,
1249.0,Boulevard,West Hartford,CT,6119,
27.0,Delwood Ave,Clinton,CT,6413,
412.0,Long Hill Rd,Wallingford,CT,6492,
17.0,Mills Rd,Windsor,CT,6095,
12.0,Middlesex St,Waterbury,CT,6704,
152.0,Pineridge Rd,Waterbury,CT,6706,
211.0,Nautilus,Bridgeport,CT,6606,
58.0,Vineyard Rd,North Haven,CT,6473,
62.0,Linden Ave,Branford,CT,6405,
141.0,Triangle St,Danbury,CT,6810,
8.0,Aspen Ledges Rd,Ridgefield,CT,6877,
278.0,Franklin Rd,Hamden,CT,6517,
23.0,Christopher Dr,Milford,CT,06460,
1705.0,Asylum Ave,West Hartford,CT,6119,
12.0,Anthony Dr,Bristol,CT,6010,
14.0,Garden St,Meriden,CT,6451,
177.0,Weed St,New Canaan,CT,6840,
22.0,Cambridge St,Manchester,CT,06042,
1.0,Colonial Dr,Enfield,CT,6082,
112.0,Murlyn Rd,Hamden,CT,6518,
2391.0,Stanley St,New Britain,CT,6053,
336.0,Wickham Rd,Glastonbury,CT,6033,
5.0,Bassett Rd,Branford,CT,6405,
1.0,Merritt Ln,Old Saybrook,CT,6475,
2.0,Park Pl,Granby,CT,6035,
23.0,Taylor Ave,Bethel,CT,6801,
14.0,Binney Rd,Old Lyme,CT,6371,
14.0,Sycamore Way,Branford,CT,6405,
188.0,Sigourney St,Hartford,CT,6105,
142.0,Bailey Rd,Rocky Hill,CT,6067,
80.0,Los Angeles Ave,Stratford,CT,6614,
80.0,Hanover St,Meriden,CT,6451,
74.0,Lyness St,Manchester,CT,06040,
441.0,Chapel St,New Haven,CT,6511,
79.0,Greenhurst Rd,West Hartford,CT,6107,
26.0,Anderson Rd,Greenwich,CT,6830,
97.0,Virginia Ln,Tolland,CT,6084,
230.0,Chester St,East Hartford,CT,6108,
97.0,Putnam Park Rd,Bethel,CT,6801,
49.0,Stonehill Dr,Rocky Hill,CT,6067,
268.0,Southbury Rd,Roxbury,CT,6783,
111.0,Medford St,West Haven,CT,6516,
75.0,Pebblebrook,Windsor,CT,6095,
76.0,Nicole Dr,Glastonbury,CT,6073,
4.0,Mulberry Ln,Enfield,CT,6082,
46.0,Robbie Rd,Tolland,CT,6084,
38.0,Spring St,Milford,CT,6460,
2.0,Willowbrook Rd,Cromwell,CT,6416,
102.0,Wetherell St,Manchester,CT,06040,
47.0,Cambridge Dr,South Windsor,CT,06074,
58.0,Grove St,Branford,CT,6405,
79.0,Maple Ave,Old Saybrook,CT,6475,
35.0,Hawleyville Rd,Bethel,CT,6801,
18.0,Punkin Dr,Ellington,CT,6029,
473.0,Garfield,Bridgeport,CT,6606,
5.0,Georgetown Rd,Bristol,CT,6010,
1.0,Abrahms Blvd,West Hartford,CT,6117,
64.0,Andover Rd,Windsor Locks,CT,6096,
8.0,Long Lots Ln,Westport,CT,6880,
4005.0,Ridge Rd,North Haven,CT,6473,
263.0,Red Mountain Ave,Torrington,CT,6790,
80.0,Lancaster Ct,Middletown,CT,6457,
,Glen Haven Rd,New Haven,CT,6513,
95.0,Nod Rd,Ridgefield,CT,6877,
118.0,Cynthia Dr,Berlin,CT,6037,
50.0,Zurko Farm Rd,Milford,CT,6461,
58.0,Orchard Rdg,Berlin,CT,6037,
66.0,Chapin Ave,Waterbury,CT,6708,
10.0,Avondale Rd,West Hartford,CT,6117,
53.0,Mount Vernon Dr,Vernon,CT,6066,
22.0,Weaver Cir,North Haven,CT,6473,
30.0,Benedict St,Norwalk,CT,6850,
37.0,Christian Ln,Brookfield,CT,06804,
214.0,Lum Lot Rd,Southbury,CT,6488,
274.0,Maplewood Ave,Milford,CT,6460,
234.0,Fans Rock Rd,Hamden,CT,6518,
56.0,Blackstone Ln,East Hartford,CT,6108,
459.0,Middlesex Rd,Darien,CT,6820,
433.0,Old Cellar Rd,Orange,CT,6477,
238.0,White Birch Rd,East Hampton,CT,6424,
492.0,King St,South Windsor,CT,06074,
717.0,Guernseytown Rd,Watertown,CT,6795,
114.0,Milne,Bridgeport,CT,6604,
19.0,Fox Den Rd,Bethel,CT,6801,
51.0,Devine Rd,Suffield,CT,6078,
508.0,Maple St,Wethersfield,CT,6109,
245.0,Crest St,Wethersfield,CT,6109,
183.0,N Condor Dr,Rocky Hill,CT,6067,
64.0,Wayne Ln,Meriden,CT,6450,
31.0,Beard Dr,New Milford,CT,6776,
,Cosey Beach Ave,East Haven,CT,6512,
57.0,Benton Ln,Glastonbury,CT,6033,
225.0,Lovely St,Avon,CT,6001,
557.0,Union,Bridgeport,CT,6607,
35.0,Oxford Rd,Oxford,CT,6478,
8.0,Cedarwood Dr,Ellington,CT,6029,
86.0,Dillon Rd,Hartford,CT,6112,
277.0,Robinwood Rd,Waterbury,CT,6708,
5.0,Anchorage Ln,Old Saybrook,CT,6475,
68.0,Fairview Dr,Wethersfield,CT,6109,
15.0,Edwin,Bridgeport,CT,6607,
151.0,Farmington Ave,Waterbury,CT,6710,
43.0,Douglas Ln,Ridgefield,CT,6877,
71.0,Tarragon Dr,East Hampton,CT,6424,
80.0,Washington Ave,Seymour,CT,6483,
63.0,Acacea Ct,Middletown,CT,6457,
79.0,S Center St,Windsor Locks,CT,6096,
480.0,Main St S,Woodbury,CT,6798,
20.0,Amato Dr,South Windsor,CT,06074,
4.0,Fletcher Rd,Enfield,CT,6082,
39.0,Lewelyn Rd,Stamford,CT,6902,
96.0,Sherman St,Hartford,CT,6105,
165.0,Mountain Brook Dr,Cheshire,CT,6410,
100.0,Great Meadow Rd,Wethersfield,CT,6109,
22.0,Shirley St,Norwalk,CT,6850,
35.0,Summer Hill Ct,Cheshire,CT,6410,
