NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
7.0,KINGS ROW DRIVE,DENNIS,MA,2660,
288.0,GRAFTON STREET,WORCESTER,MA,1604,
105.0,HILLBERG AVENUE,BROCKTON,MA,2301,
63.0,CARVER STREET,HALIFAX,MA,2338,
50.0,ROANOKE ROAD,HYDE PARK,MA,2136,2.0
288.0,RENFREW STREET,METHUEN,MA,1844,
40.0,DUDLEY STREET,READING,MA,1867,
406.0,WEST STREET,LEOMINSTER,MA,1453,
68.0,JENKINS AVENUE,WHITMAN,MA,2382,
24.0,ECHO LANE,EASTHAMPTON,MA,1027,
243.0,SPRING STREET,MEDFORD,MA,02155,
1330.0,CAREW STREET,SPRINGFIELD,MA,1104,
,GROVE STREET,MILLBURY,MA,1527,
30.0,MAIN STREET,TISBURY,MA,02568,2.0
8.0,LANGDON STREET,SPRINGFIELD,MA,1104,
19.0,WINTER STREET,SAUGUS,MA,01906,
,SUNSET AVENUE,LAWRENCE,MA,1841,
11.0,ASHFORD STREET,BRIGHTON,MA,2134,
9.0,ROBIN HOOD AVENUE,MIDDLEBOROUGH,MA,2346,
21.0,GERRISH AVENUE,CHELSEA,MA,2150,4.0
58.0,NORTH AVENUE,MENDON,MA,1756,
8.0,LAURINE ROAD,PEABODY,MA,1960,
52.0,LIBERTY POLE ROAD,HINGHAM,MA,2043,
118.0,KILBY STREET,HINGHAM,MA,2043,
16.0,EDLEN LANE,HYANNIS,MA,2601,
98.0,SMITH STREET,LOWELL,MA,1851,7.0
26.0,GILBERT STREET,NORTH BROOKFIELD,MA,1535,
23.0,CLARKS ROAD,AMESBURY,MA,1913,102.0
40.0,GOODHUE AVENUE,DRACUT,MA,1826,2.0
138.0,CARROLL AVENUE,WESTWOOD,MA,2090,
317.0,BEACON STREET,BOSTON,MA,2116,5.0
37.0,DEDHAM STREET,REVERE,MA,2151,
119.0,INDEPENDENCE AVENUE,QUINCY,MA,2169,
16.0,PROGRESS ROAD,BILLERICA,MA,1821,
188.0,SUMMER STREET,WEYMOUTH,MA,2188,5.0
100.0,VILLAGE WAY,WESTPORT,MA,02790,203.0
23.0,MAYFLOWER CIRCLE,WORCESTER,MA,1606,
265.0,CALIFORNIA STREET,NEWTON,MA,2458,1.0
429.0,WINTHROP STREET,WINTHROP,MA,2152,
270.0,CHESTNUT STREET,REHOBOTH,MA,2769,
380.0,PLEASANT STREET,CHATHAM,MA,2659,
11.0,MESHAKA STREET,WEST ROXBURY,MA,2132,
35.0,GREW HILL ROAD,ROSLINDALE,MA,2131,
216.0,PINE STREET,ATTLEBORO,MA,2703,1.0
37.0,SECOND STREET,LEOMINSTER,MA,1453,
645.0,HAMMOND STREET,BROOKLINE,MA,2467,3.0
12.0,DARLING LANE,SUTTON,MA,1590,
32.0,CROSBY STREET,LAWRENCE,MA,1843,1.0
209.0,FRAMINGHAM ROAD,MARLBOROUGH,MA,1752,
10.0,WILLIAMS STREET,WATERTOWN,MA,2472,77.0
6.0,BALLORD PLACE,CAMBRIDGE,MA,2139,
125.0,LABELLE CIRCLE,CHICOPEE,MA,1020,
70.0,WARREN AVENUE,WOBURN,MA,1801,
641.0,BENNINGTON STREET,EAST BOSTON,MA,2128,1.0
26.0,MARTIN STREET,ESSEX,MA,1929,
11.0,BEACON STREET,ARLINGTON,MA,2474,2.0
15.0,EAST PROSPECT STREET,ERVING,MA,1344,
40.0,HEWINS STREET,DORCHESTER,MA,2121,
82.0,ANTHONY ROAD,DALTON,MA,1226,
0.0,AMHERST STREET,BROCKTON,MA,2302,
11.0,PIERCE STREET,HYDE PARK,MA,2136,1.0
66.0,LORETTA ROAD,WALTHAM,MA,2451,
207.0,SOUTH MOUNTAIN ROAD,PITTSFIELD,MA,1201,
1031.0,WEST MAIN STREET,CENTERVILLE,MA,2632,
151.0,HAGGETTS POND ROAD,ANDOVER,MA,1810,
375.0,CENTER STREET,FALL RIVER,MA,2724,
15.0,GORDON ROAD,HARWICH,MA,2671,
186.0,ARTHUR STREET,FRAMINGHAM,MA,1702,1.0
168.0,BEECH STREET,FITCHBURG,MA,1420,
