NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
5895.0,HILLSIDE DR,ATLANTA,GA,30340,
2220.0,Bigwood Trail,South Fulton,GA,30349,
512.0,MONTEREY PKWY,Sandy Springs,GA,30350,
3844.0,ASHFORD TRAIL,ATLANTA,GA,30319,
905.0,HANCOCK ST,Chatham,GA,31405,
156.0,BETHESDA CHURCH RD,LAWRENCEVILLE,GA,30044,
5805.0,State Bridge Road,Johns Creek,GA,30097,
25.0,GENERAL LONGSTREET LINE,NEWNAN,GA,30265,
833.0,Turpin Avenue  SE,Atlanta,GA,30312,
620.0,LASCO HARVEY RD,Sumter,GA,31719,
2372.0,Browns Mill Road  SE,Atlanta,GA,30315,
237.0,SMITHSTONE PATH,FAY,GA,30214,
2022.0,Warren St,Augusta,GA,30904,
323.0,Liberty Dr,Acworth,GA,30102,
3.0,IVY CT,Chatham,GA,31405,
750.0,GAINES SCHOOL RD,Athens,GA,30605,
694.0,Stratford Green,AVONDALE ESTATES,GA,30002,
2928.0,Courtney Rd,Augusta,GA,30906,
3230.0,Cadiz Circle,South Fulton,GA,30349,
116.0,OAK PARK SQ,NEWNAN,GA,30265,
5789.0,Hickory Flat Hwy,Canton,GA,30115,
2541.0,ABUTMENT RD,DALTON,GA,30721,
3726.0,ROSECLIFF TRCE,BUFORD,GA,30519,
197.0,MONTEGO CIR,RIVERDALE,GA,30274,
1491.0,EASTGATE RD,JONESBORO,GA,30238,
6704.0,GRAVES MILL DR,NORCROSS,GA,30093,
1261.0,JACKSON SPRINGS RD,MACON,GA,31211,
2555.0,Southers Cir,Suwanee,GA,30024,
689.0,SAPP ST,MACON,GA,31204,
2633.0,Council Street,LITHONIA,GA,30058,
4366.0,SUWANEE BROOK CT,BUFORD,GA,30518,
4109.0,Oak Crest Drive,TUCKER,GA,30084,
1138.0,NEWBERG AVE,MACON,GA,31206,
505.0,MALL BLVD,Chatham,GA,31406,
893.0,STEWART ST,MACON,GA,31217,
1395.0,Delo Ln,Cumming,GA,30041,
2231.0,CAIN COMMONS DR,DACULA,GA,30019,
200.0,Picadilly Plc,Canton,GA,30114,
70.0,BERLIN CT,SHARPSBURG,GA,30277,
6459.0,HIGHWAY 42,REX,GA,30273,
621.0,WARRENTON DR,Paulding,GA,30134,
0.0,PINK ST,Porterdale,GA,30014    ,
35.0,BROOKE CT,NEWNAN,GA,30265,
528.0,MERRILL LN,PTC,GA,30269,
3649.0,BUFORD HIGHWAY,ATLANTA,GA,30329,
1812.0,VASSAR ST,Chatham,GA,31405,
206.0,TANGLEY TR,PTC,GA,30269,
5110.0,North  Bridges Drive,Johns Creek,GA,30022,
,Byrd Rd,Augusta,GA,30906,
4086.0,Robin Circle,Union City,GA,30349,
996.0,HOOD RD,FAY,GA,30214,
1886.0,EMERALD DR,LAKE SPIVEY,GA,30236,
11.0,SYMPHONY CT,Chatham,GA,31322,
39.0,Kenmare Hall    NE,Atlanta,GA,30324,
118.0,Townview Dr,Woodstock,GA,30189,
275.0,JACK RUSSELL RD,NEWNAN,GA,30263,
1570.0,NEWTON BRIDGE RD,Athens,GA,30607,
308.0,Santa Anita Av,Woodstock,GA,30189,
3435.0,Hyacinth Way,Cumming,GA,30041,
102.0,KIPLING DR,Marietta,GA,300683326,
540.0,POWDER SPRINGS ST,Marietta,GA,30064,
1134.0,FAIRWAY GARDENS,ATLANTA,GA,30319,
2504.0,SUMMIT SPRINGS DR,Sandy Springs,GA,30350,
2609.0,CHATSWORTH CT,MACON,GA,31206,
90.0,TEMPERENCE WAY,Paulding,GA,30141,
2661.0,GADSEN WALK,DULUTH,GA,30097,
6.0,PENSYRE RETREAT,Chatham,GA,31411,
3749.0,LINDSEY DR,MACON,GA,31206,
3777.0,Peachtree Road,ATLANTA,GA,30319,
450.0,NORTH DR,FAY,GA,30214,
5295.0,Laithbank Lane,Johns Creek,GA,30022,
847.0,CLINTON RD,MACON,GA,31211,
6770.0,SHANGRILA WAY,RIVERDALE,GA,30296,
2007.0,Blayton Circle  NW,Atlanta,GA,30314,
6146.0,Brookhaven Circle,Johns Creek,GA,30097,
19.0,CONAWAY RD,Chatham,GA,31302,
138.0,DAZZLING CT,Paulding,GA,30132,
201.0,COOPER RD,Sumter,GA,31764,
975.0,DOROTHY ST,MACON,GA,31217,
5384.0,NEW FORSYTH RD,MACON,GA,31210,
1478.0,Kilmuir Way,STONE MOUNTAIN,GA,30083,
6380.0,Waveland Dr,Cumming,GA,30040,
4087.0,TANGLEWOOD RD,SNELLVILLE,GA,30039,
5335.0,Pine Cir,Cumming,GA,30041,
4800.0,Butner Road,South Fulton,GA,30349,
1635.0,PIRKLE RD,NORCROSS,GA,30093,
3354.0,MCINTOSH LN,SNELLVILLE,GA,30039,
201.0,W 58TH ST,Chatham,GA,31405,
792.0,HILL RD,RAY CITY,GA,31639,
4154.0,MT TABOR CHURCH RD,Paulding,GA,30157,
330.0,VINE ST,Athens,GA,30601,
118.0,KNOTTY PINE RD, ,GA,31602,
165.0,HINES TER,MACON,GA,31204,
2013.0,SANDERLING WAY,LAWRENCEVILLE,GA,30043,
1583.0,Tanager Circle,DECATUR,GA,30032,
44034.0,Gardner Drive,Alpharetta,GA,30009,
106.0,Lakeview Dr,Canton,GA,30114,
2900.0,Cravey Drive,ATLANTA,GA,30345,
2205.0,BROOKHAVEN VIEW,ATLANTA,GA,30319,
4151.0,Cedar Commons Way,CONLEY,GA,30288,
1354.0,CRESENT CIR,LILBURN,GA,30047,
165.0,MEADOW CREEK LN,ATHENS,GA,30605,
872.0,COLLEGE DR,DALTON,GA,30720,
