NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
,AZTEC,AZTEC,NM,87410,32.0
3904.0,CRESCENT AVE,FARMINGTON,NM,87401,
1449.0,MONTEREY RD,TAOS,NM,87571,
2722.0,E 19TH ST,FARMINGTON,NM,87402,
3015.0,CALLE CABALLERO,Santa Fe,NM,87507,
7558.0,KACHINA LOOP,Santa Fe,NM,87507,
505.0,OPPENHEIMER DR,LOS ALAMOS,NM,87544,
250.0,E ALAMEDA ST,Santa Fe,NM,87501,408.0
869.0,AGUA FRIA ST,Santa Fe,NM,87501,
6058.0,US 64,FARMINGTON,NM,87401,
65.0,ROAD 5190,BLOOMFIELD,NM,87413,
1120.0,HINES RD,FARMINGTON,NM,87401,
305.0,DON FERNANDO ST,TAOS,NM,87571,
893.0,NM 516,FLORA VISTA,NM,87415,
83.0,ROAD 3536,FLORA VISTA,NM,87415,
308.0,LOS ARBOLES DR,Santa Fe,NM,87501,
2964.0,LOIS LN,Santa Fe,NM,87507,
1.0,MESA LN,EL PRADO,NM,87529,
1200.0,SUNRISE PKWY,FARMINGTON,NM,87401,
2258.0,CALLE DE ARCE,Santa Fe,NM,87505,
1201.0,BRENTWOOD CIR,FARMINGTON,NM,87401,
269.0,CAMINO DE LA SIERRA,Santa Fe,NM,87501,
2411.0,CALLE CONTESSA,Santa Fe,NM,87505,
700.0,S DUSTIN RD,FARMINGTON,NM,87401,
411.0,SAINT MICHAELS DR,Santa Fe,NM,87505,3.0
214.0,N COURT AVE,FARMINGTON,NM,87401,
1563.0,OLD STATE HWY 3,SAN CRISTOBAL,NM,87564,
2108.0,CALLE DE SEBASTIAN,Santa Fe,NM,87505,
22.0,SANTO NINO RD,EL PRADO,NM,87529,
300.0,CHULA VISTA,Santa Fe,NM,87501,
7110.0,SARAH ST,FARMINGTON,NM,87401,
5590.0,ROBERTS RD,FARMINGTON,NM,87402,
11.0,UPPER PINABETTE RD,QUESTA,NM,87556,
164.0,W ROMERO RD,RANCHOS DE TAOS,NM,87557,
624.0,PAIGE LOOP E,LOS ALAMOS,NM,87547,
28.0,ROAD 6221,KIRTLAND,NM,87417,
1629.0,PASEO DEL PUEBLO NORTE,EL PRADO,NM,87529,
800.0,E 20TH ST,FARMINGTON,NM,87401,
25.0,ROAD 5387,FARMINGTON,NM,87401,38.0
6061.0,MONTE AZUL PL,Santa Fe,NM,87507,
222.0,HINDE PL,TAOS,NM,87571,
1405.0,CAMINA ENTRADA,FARMINGTON,NM,87401,
1075.0,MYRTLE ST,LOS ALAMOS,NM,87544,
4205.0,MAGNOLIA LN,FARMINGTON,NM,87402,
414.0,HEILAND,AZTEC,NM,87410,
2345.0,E 17TH ST,FARMINGTON,NM,87401,
8.0,ROAD 4960,BLOOMFIELD,NM,87413,
836.0,SHADY LN,FARMINGTON,NM,87401,
702.0,N ALLEN AVE,FARMINGTON,NM,87401,
2117.0,E 11TH ST,FARMINGTON,NM,87401,
123.0,CANYON VISTA,LOS ALAMOS,NM,87547,
1650.0,ROAD 7100,FARMINGTON (NO DELIVERY),NM,87401,
1445.0,BIG ROCK LOOP,LOS ALAMOS,NM,87544,
4761.0,QUEMAZON,LOS ALAMOS,NM,87544,
108.0,CATHEDRAL PL,Santa Fe,NM,87501,
501.0,W ZIA RD,Santa Fe,NM,87505,
