NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
4419,W 25TH ST,LITTLE ROCK,AR,72204,
324,W PERSHING BLVD,NORTH LITTLE ROCK,AR,72114,
15,LOBLOLLY DR,LITTLE ROCK,AR,72204,
8212,TALL OAKS CV,SHERWOOD,AR,72120,
816,VALERIE DR,NORTH LITTLE ROCK,AR,72118,
2471,W   SYCAMORE ST,FAYETTEVILLE,AR,72703,3
101,LAUREL ST,JACKSONVILLE,AR,72076,
124,W CAPITOL AVE,LITTLE ROCK,AR,72201,100
8385,W   VISTA TERRACE DR,FAYETTEVILLE,AR,72704,
391,S   HILL AVE,FAYETTEVILLE,AR,72701,
10525,PAUL EELLS DR,NORTH LITTLE ROCK,AR,72113,12
209,BLUEBELL DR,NORTH LITTLE ROCK,AR,72118,
2005,FAIR PARK BLVD,LITTLE ROCK,AR,72204,
16,CEDARIDGE DR,SHERWOOD,AR,72076,
209,MIDLAND ST,LITTLE ROCK,AR,72205,
9301,TREASURE HILL RD,LITTLE ROCK,AR,72227,
20,OAKWOOD RD,LITTLE ROCK,AR,72202,
3316,W   IKA LN,FAYETTEVILLE,AR,72704,
8419,BASELINE RD,LITTLE ROCK,AR,72209,23
3476,E KIEHL AVE,SHERWOOD,AR,72120,7606
433,MCCAIN BLVD,NORTH LITTLE ROCK,AR,72116,220
6318,H ST,LITTLE ROCK,AR,72205,
10009,RAYMOND DR,LITTLE ROCK,AR,72205,
18717,SHORELINE WAY, ,AR,72703,
900,MADDEN RD,JACKSONVILLE,AR,72076,
4005,N HILLS BLVD,NORTH LITTLE ROCK,AR,72116,
2020,ROMINE RD,LITTLE ROCK,AR,72205,
15301,WILD OAK LN,PULASKI COUNTY,AR,72135,
7512,VALLEY DR,LITTLE ROCK,AR,72209,
4024,SAM PECK RD,LITTLE ROCK,AR,72223,
11009,CYPRESS XING,NORTH LITTLE ROCK,AR,72117,
2767,N   BARCELONA AVE,FAYETTEVILLE,AR,72703,
3314,CRAWFORD ST,PULASKI COUNTY,AR,72206,
29,OVERLOOK CIR,LITTLE ROCK,AR,72207,
2000,RESERVOIR RD,LITTLE ROCK,AR,72227,84
1704,MAIN ST,NORTH LITTLE ROCK,AR,72114,
909,LOYOLA DR,LITTLE ROCK,AR,72211,
3604,ARAPAHO TRL,LITTLE ROCK,AR,72209,
10424,REPUBLIC LN,LITTLE ROCK,AR,72209,
1309,PLUMMER DR,JACKSONVILLE,AR,72076,12
100,COMMERCIAL PARK CT,MAUMELLE,AR,72113,124
5604,ALPHA ST,NORTH LITTLE ROCK,AR,72117,
7318,OUACHITA DR,LITTLE ROCK,AR,72205,
2000,MAGNOLIA AVE,LITTLE ROCK,AR,72202,241
3397,E   MISSION BLVD,FAYETTEVILLE,AR,72701,
1609,ROCKWATER BLVD,NORTH LITTLE ROCK,AR,72114,103
605,W SCENIC DR,NORTH LITTLE ROCK,AR,72118,
10702,COLONEL GLENN RD,Pulaski,AR,72204,
164,VILLAS HEIGHTS DR,LITTLE ROCK,AR,72223,
1912,GREEN MOUNTAIN DR,LITTLE ROCK,AR,72212,406
3024,KING RD,LITTLE ROCK,AR,72206,
7345,RIVER POINTE DR,NORTH LITTLE ROCK,AR,72113,4
200,S HOSPITAL BLVD,JACKSONVILLE,AR,72076,
3183,W   HOWARD NICKELL RD, ,AR,72704,
1723,MARLYN DR,LITTLE ROCK,AR,72205,
1459,S  LAGUNA LOOP,FAYETTEVILLE,AR,72701,
4611,MCDONALD RD,PULASKI COUNTY,AR,72206,
1450,N   CANTERBURY RD,FAYETTEVILLE,AR,72701,
4719,MCHENRY CREEK CIR,PULASKI COUNTY,AR,72210,
2383,E   TALL OAKS DR,FAYETTEVILLE,AR,72703,
1814,KAVANAUGH BLVD,LITTLE ROCK,AR,72205,
8209,WOODVIEW DR E,SHERWOOD,AR,72120,
705,HWY 65   S,Harrison,AR,72601,
2556,W   MOUNT COMFORT RD,FAYETTEVILLE,AR,72704,52
425,S   STONE BRIDGE RD,FAYETTEVILLE,AR,72701,
10613,DAVID O DODD RD,LITTLE ROCK,AR,72204,
3367,W   OLD FARMINGTON RD,FAYETTEVILLE,AR,72704,
110,PINE VALLEY RD,LITTLE ROCK,AR,72207,
2657,E   KANTZ DR,FAYETTEVILLE,AR,72703,7
29,ARLES DR,LITTLE ROCK,AR,72223,
3215,W   JEWELL RD,FAYETTEVILLE,AR,72701,10
165,LILY DR,MAUMELLE,AR,72113,
16,DON DR,LITTLE ROCK,AR,72210,
1509,MARLYN DR,LITTLE ROCK,AR,72205,
10305,BOX CAR DR,PULASKI COUNTY,AR,72076,
16709,HIDDEN ACRES LN,PULASKI COUNTY,AR,72206,
1,ENSBURY PL,LITTLE ROCK,AR,72223,
4316,LEE AVE,LITTLE ROCK,AR,72205,
